lon,childrenUrls,url,$type,commonName,children,placeType,lat,additionalProperties,id
-0.13151,[],https://api-argon.tfl.gov.uk/Place/BikePoints_83,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Panton Street, West End",[],BikePoint,51.509639,BikePoints_83
-0.111778,[],https://api-argon.tfl.gov.uk/Place/BikePoints_84,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Breams Buildings, Holborn",[],BikePoint,51.515937,BikePoints_84
-0.0786,[],https://api-argon.tfl.gov.uk/Place/BikePoints_85,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Tanner Street, Bermondsey",[],BikePoint,51.500647,BikePoints_85
-0.115156,[],https://api-argon.tfl.gov.uk/Place/BikePoints_86,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Sancroft Street, Vauxhall",[],BikePoint,51.489479,BikePoints_86
-0.079684,[],https://api-argon.tfl.gov.uk/Place/BikePoints_87,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Devonshire Square, Liverpool Street",[],BikePoint,51.516468,BikePoints_87
-0.132053,[],https://api-argon.tfl.gov.uk/Place/BikePoints_88,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Bayley Street , Bloomsbury",[],BikePoint,51.518587,BikePoints_88
-0.123509,[],https://api-argon.tfl.gov.uk/Place/BikePoints_89,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Tavistock Place, Bloomsbury",[],BikePoint,51.52625,BikePoints_89
-0.139174,[],https://api-argon.tfl.gov.uk/Place/BikePoints_90,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Harrington Square 1, Camden Town",[],BikePoint,51.533019,BikePoints_90
-0.111014,[],https://api-argon.tfl.gov.uk/Place/BikePoints_91,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Walnut Tree Walk, Vauxhall",[],BikePoint,51.493686,BikePoints_91
-0.10044,[],https://api-argon.tfl.gov.uk/Place/BikePoints_92,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Borough Road, Elephant & Castle",[],BikePoint,51.498898,BikePoints_92
-0.109025,[],https://api-argon.tfl.gov.uk/Place/BikePoints_93,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Cloudesley Road, Angel",[],BikePoint,51.534408,BikePoints_93
-0.085814,[],https://api-argon.tfl.gov.uk/Place/BikePoints_94,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Bricklayers Arms, Borough",[],BikePoint,51.495061,BikePoints_94
-0.09734,[],https://api-argon.tfl.gov.uk/Place/BikePoints_95,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Aldersgate Street, Barbican",[],BikePoint,51.520841,BikePoints_95
-0.078505,[],https://api-argon.tfl.gov.uk/Place/BikePoints_96,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Falkirk Street, Hoxton",[],BikePoint,51.53095,BikePoints_96
-0.183834,[],https://api-argon.tfl.gov.uk/Place/BikePoints_97,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Gloucester Road (North), Kensington",[],BikePoint,51.497924,BikePoints_97
-0.138231,[],https://api-argon.tfl.gov.uk/Place/BikePoints_98,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Hampstead Road, Euston",[],BikePoint,51.525542,BikePoints_98
-0.158264,[],https://api-argon.tfl.gov.uk/Place/BikePoints_99,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Old Quebec Street, Marylebone",[],BikePoint,51.514577,BikePoints_99
-0.122806,[],https://api-argon.tfl.gov.uk/Place/BikePoints_100,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Albert Embankment, Vauxhall",[],BikePoint,51.490435,BikePoints_100
-0.09294,[],https://api-argon.tfl.gov.uk/Place/BikePoints_101,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Queen Street 1, Bank",[],BikePoint,51.511553,BikePoints_101
-0.076793,[],https://api-argon.tfl.gov.uk/Place/BikePoints_102,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Jewry Street, Aldgate",[],BikePoint,51.513406,BikePoints_102
-0.192538,[],https://api-argon.tfl.gov.uk/Place/BikePoints_103,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Vicarage Gate, Kensington",[],BikePoint,51.504723,BikePoints_103
-0.077121,[],https://api-argon.tfl.gov.uk/Place/BikePoints_104,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Crosswall, Tower",[],BikePoint,51.511594,BikePoints_104
-0.19024,[],https://api-argon.tfl.gov.uk/Place/BikePoints_105,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Westbourne Grove, Bayswater",[],BikePoint,51.515529,BikePoints_105
-0.147301,[],https://api-argon.tfl.gov.uk/Place/BikePoints_106,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Woodstock Street, Mayfair",[],BikePoint,51.514105,BikePoints_106
-0.096317,[],https://api-argon.tfl.gov.uk/Place/BikePoints_107,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Finsbury Leisure Centre, St. Luke's",[],BikePoint,51.526008,BikePoints_107
-0.132102,[],https://api-argon.tfl.gov.uk/Place/BikePoints_108,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Abbey Orchard Street, Westminster",[],BikePoint,51.498125,BikePoints_108
-0.132328,[],https://api-argon.tfl.gov.uk/Place/BikePoints_109,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Soho Square , Soho",[],BikePoint,51.515631,BikePoints_109
-0.172528,[],https://api-argon.tfl.gov.uk/Place/BikePoints_110,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Wellington Road, St. John's Wood",[],BikePoint,51.533043,BikePoints_110
-0.157275,[],https://api-argon.tfl.gov.uk/Place/BikePoints_111,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Park Lane , Hyde Park",[],BikePoint,51.510017,BikePoints_111
-0.10527,[],https://api-argon.tfl.gov.uk/Place/BikePoints_112,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Stonecutter Street, Holborn",[],BikePoint,51.515809,BikePoints_112
-0.183289,[],https://api-argon.tfl.gov.uk/Place/BikePoints_113,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Gloucester Road (Central), South Kensington",[],BikePoint,51.496462,BikePoints_113
-0.158963,[],https://api-argon.tfl.gov.uk/Place/BikePoints_114,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Park Road (Baker Street), The Regent's Park",[],BikePoint,51.524517,BikePoints_114
-0.073537,[],https://api-argon.tfl.gov.uk/Place/BikePoints_115,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Braham Street, Aldgate",[],BikePoint,51.514233,BikePoints_115
-0.141423,[],https://api-argon.tfl.gov.uk/Place/BikePoints_116,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Little Argyll Street, West End",[],BikePoint,51.514499,BikePoints_116
-0.114934,[],https://api-argon.tfl.gov.uk/Place/BikePoints_117,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Lollard Street, Vauxhall",[],BikePoint,51.49288,BikePoints_117
-0.135478,[],https://api-argon.tfl.gov.uk/Place/BikePoints_118,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Rochester Row, Westminster",[],BikePoint,51.495827,BikePoints_118
-0.090847,[],https://api-argon.tfl.gov.uk/Place/BikePoints_119,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Bath Street, St. Luke's",[],BikePoint,51.525893,BikePoints_119
-0.09308,[],https://api-argon.tfl.gov.uk/Place/BikePoints_120,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","The Guildhall, Guildhall",[],BikePoint,51.515735,BikePoints_120
-0.156166,[],https://api-argon.tfl.gov.uk/Place/BikePoints_121,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Baker Street, Marylebone",[],BikePoint,51.518913,BikePoints_121
-0.078869,[],https://api-argon.tfl.gov.uk/Place/BikePoints_122,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Norton Folgate, Liverpool Street",[],BikePoint,51.521113,BikePoints_122
-0.104724,[],https://api-argon.tfl.gov.uk/Place/BikePoints_123,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","St. John Street, Finsbury",[],BikePoint,51.52836,BikePoints_123
-0.150905,[],https://api-argon.tfl.gov.uk/Place/BikePoints_124,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Eaton Square, Belgravia",[],BikePoint,51.496544,BikePoints_124
-0.094524,[],https://api-argon.tfl.gov.uk/Place/BikePoints_125,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Borough High Street, The Borough",[],BikePoint,51.500694,BikePoints_125
-0.096496,[],https://api-argon.tfl.gov.uk/Place/BikePoints_126,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Museum of London, Barbican",[],BikePoint,51.517821,BikePoints_126
-0.093885,[],https://api-argon.tfl.gov.uk/Place/BikePoints_127,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Wood Street, Guildhall",[],BikePoint,51.517008,BikePoints_127
-0.185296,[],https://api-argon.tfl.gov.uk/Place/BikePoints_128,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Emperor's Gate, South Kensington",[],BikePoint,51.495362,BikePoints_128
-0.137043,[],https://api-argon.tfl.gov.uk/Place/BikePoints_129,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Golden Square, Soho",[],BikePoint,51.511897,BikePoints_129
-0.136792,[],https://api-argon.tfl.gov.uk/Place/BikePoints_131,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Eversholt Street , Camden Town",[],BikePoint,51.533005,BikePoints_131
-0.074754,[],https://api-argon.tfl.gov.uk/Place/BikePoints_132,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Bethnal Green Road, Shoreditch",[],BikePoint,51.523648,BikePoints_132
-0.191462,[],https://api-argon.tfl.gov.uk/Place/BikePoints_133,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Derry Street, Kensington",[],BikePoint,51.501364,BikePoints_133
